127.0.0.1 - - [04/Nov/2022:14:57:27 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [04/Nov/2022:14:57:29 +0900] "GET /joeunmall/ HTTP/1.1" 200 464
0:0:0:0:0:0:0:1 - - [04/Nov/2022:14:57:29 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [04/Nov/2022:14:57:31 +0900] "GET /joeunmall/orderManage.do?admin=team3 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Nov/2022:14:57:31 +0900] "GET /joeunmall/admin/admin-orderManage.do?admin=orderManage HTTP/1.1" 200 14784
0:0:0:0:0:0:0:1 - - [04/Nov/2022:14:57:31 +0900] "GET /joeunmall/css/admin-nav.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2022:14:57:31 +0900] "GET /joeunmall/css/admin-section-manage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2022:14:57:31 +0900] "GET /joeunmall/images/logo/logo_transparent.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2022:14:57:31 +0900] "GET /joeunmall/images/icon/icon_search.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2022:14:57:31 +0900] "GET /joeunmall/images/icon/icon_page_nextnext.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2022:14:57:31 +0900] "GET /joeunmall/images/icon/icon_page_prevprev.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2022:14:57:31 +0900] "GET /joeunmall/images/icon/icon_page_next.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2022:14:57:31 +0900] "GET /joeunmall/images/icon/icon_page_prev.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Nov/2022:14:57:47 +0900] "GET /joeunmall/admin/admin-productRegistration.html HTTP/1.1" 404 378
0:0:0:0:0:0:0:1 - - [04/Nov/2022:14:57:48 +0900] "GET /joeunmall HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Nov/2022:14:57:48 +0900] "GET /joeunmall/ HTTP/1.1" 200 464
0:0:0:0:0:0:0:1 - - [04/Nov/2022:14:57:50 +0900] "GET /joeunmall/orderManage.do?admin=team3 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Nov/2022:14:57:50 +0900] "GET /joeunmall/admin/admin-orderManage.do?admin=orderManage HTTP/1.1" 200 14784
